Type,Train Losses,Train Accuracies
pgd_eps_0.1,2.3008273940086363,0.1054
pgd_eps_0.1,2.3008273940086363,0.09896
pgd_eps_0.1,2.3008273940086363,0.10654
pgd_eps_0.1,2.3008273940086363,0.18346
pgd_eps_0.1,2.3008273940086363,0.2451
pgd_eps_0.1,2.3008273940086363,0.2646
pgd_eps_0.1,2.3008273940086363,0.27446
pgd_eps_0.1,2.3008273940086363,0.28166
pgd_eps_0.1,2.3008273940086363,0.28676
pgd_eps_0.1,2.3008273940086363,0.28556
pgd_eps_0.1,2.3008273940086363,0.29614
pgd_eps_0.1,2.3008273940086363,0.29622
pgd_eps_0.1,2.3008273940086363,0.29756
pgd_eps_0.1,2.3008273940086363,0.30262
pgd_eps_0.1,2.3008273940086363,0.30706
pgd_eps_0.1,2.3008273940086363,0.30868
pgd_eps_0.1,2.3008273940086363,0.30846
pgd_eps_0.1,2.3008273940086363,0.31318
pgd_eps_0.1,2.3008273940086363,0.31028
pgd_eps_0.1,2.3008273940086363,0.31558
pgd_eps_0.1,2.3008273940086363,0.31902
pgd_eps_0.1,2.3008273940086363,0.31828
pgd_eps_0.1,2.3008273940086363,0.31904
pgd_eps_0.1,2.3008273940086363,0.32618
pgd_eps_0.1,2.3008273940086363,0.32618
pgd_eps_0.1,2.3008273940086363,0.32692
pgd_eps_0.1,2.3008273940086363,0.32532
pgd_eps_0.1,2.3008273940086363,0.3285
pgd_eps_0.1,2.3008273940086363,0.33152
pgd_eps_0.1,2.3008273940086363,0.33214
pgd_eps_0.1,2.3008273940086363,0.33298
pgd_eps_0.1,2.3008273940086363,0.33716
pgd_eps_0.1,2.3008273940086363,0.3376
pgd_eps_0.1,2.3008273940086363,0.34024
pgd_eps_0.1,2.3008273940086363,0.33468
pgd_eps_0.1,2.3008273940086363,0.33778
pgd_eps_0.1,2.3008273940086363,0.34186
pgd_eps_0.1,2.3008273940086363,0.34424
pgd_eps_0.1,2.3008273940086363,0.33728
pgd_eps_0.1,2.3008273940086363,0.34702
pgd_eps_0.1,2.304364727973938,0.1054
