Type,Train Losses,Train Accuracies
pgd_l2_eps_0.1,2.0613339734077454,0.2354
pgd_l2_eps_0.1,2.0613339734077454,0.38806
pgd_l2_eps_0.1,2.0613339734077454,0.4448
pgd_l2_eps_0.1,2.0613339734077454,0.48318
pgd_l2_eps_0.1,2.0613339734077454,0.51078
pgd_l2_eps_0.1,2.0613339734077454,0.53558
pgd_l2_eps_0.1,2.0613339734077454,0.5586
pgd_l2_eps_0.1,2.0613339734077454,0.5791
pgd_l2_eps_0.1,2.0613339734077454,0.6013
pgd_l2_eps_0.1,2.0613339734077454,0.616
pgd_l2_eps_0.1,2.0613339734077454,0.63364
pgd_l2_eps_0.1,2.0613339734077454,0.63902
pgd_l2_eps_0.1,2.0613339734077454,0.6596
pgd_l2_eps_0.1,2.0613339734077454,0.67794
pgd_l2_eps_0.1,2.0613339734077454,0.68396
pgd_l2_eps_0.1,2.0613339734077454,0.69314
pgd_l2_eps_0.1,2.0613339734077454,0.70386
pgd_l2_eps_0.1,2.0613339734077454,0.71702
pgd_l2_eps_0.1,2.0613339734077454,0.72382
pgd_l2_eps_0.1,2.0613339734077454,0.73282
pgd_l2_eps_0.1,2.0613339734077454,0.73944
pgd_l2_eps_0.1,2.0613339734077454,0.74994
pgd_l2_eps_0.1,2.0613339734077454,0.75904
pgd_l2_eps_0.1,2.0613339734077454,0.76856
pgd_l2_eps_0.1,2.0613339734077454,0.76492
pgd_l2_eps_0.1,2.0613339734077454,0.77478
pgd_l2_eps_0.1,2.0613339734077454,0.78584
pgd_l2_eps_0.1,2.0613339734077454,0.78096
pgd_l2_eps_0.1,2.0613339734077454,0.78706
pgd_l2_eps_0.1,2.0613339734077454,0.79256
pgd_l2_eps_0.1,2.0613339734077454,0.80134
pgd_l2_eps_0.1,2.0613339734077454,0.79938
pgd_l2_eps_0.1,2.0613339734077454,0.80358
pgd_l2_eps_0.1,2.0613339734077454,0.80146
pgd_l2_eps_0.1,2.0613339734077454,0.81178
pgd_l2_eps_0.1,2.0613339734077454,0.81222
pgd_l2_eps_0.1,2.0613339734077454,0.81998
pgd_l2_eps_0.1,2.0613339734077454,0.8029
pgd_l2_eps_0.1,2.0613339734077454,0.81552
pgd_l2_eps_0.1,2.0613339734077454,0.81544
pgd_l2_eps_0.1,1.6975504400730133,0.2354
pgd_l2_eps_0.1,1.6975504400730133,0.38806
pgd_l2_eps_0.1,1.6975504400730133,0.4448
pgd_l2_eps_0.1,1.6975504400730133,0.48318
pgd_l2_eps_0.1,1.6975504400730133,0.51078
pgd_l2_eps_0.1,1.6975504400730133,0.53558
pgd_l2_eps_0.1,1.6975504400730133,0.5586
pgd_l2_eps_0.1,1.6975504400730133,0.5791
pgd_l2_eps_0.1,1.6975504400730133,0.6013
pgd_l2_eps_0.1,1.6975504400730133,0.616
pgd_l2_eps_0.1,1.6975504400730133,0.63364
pgd_l2_eps_0.1,1.6975504400730133,0.63902
pgd_l2_eps_0.1,1.6975504400730133,0.6596
pgd_l2_eps_0.1,1.6975504400730133,0.67794
pgd_l2_eps_0.1,1.6975504400730133,0.68396
pgd_l2_eps_0.1,1.6975504400730133,0.69314
pgd_l2_eps_0.1,1.6975504400730133,0.70386
pgd_l2_eps_0.1,1.6975504400730133,0.71702
