Type,Train Losses,Train Accuracies
normal,2.172455220222473,0.19454
normal,2.172455220222473,0.36006
normal,2.172455220222473,0.45342
normal,2.172455220222473,0.511
normal,2.172455220222473,0.55426
normal,2.172455220222473,0.58702
normal,2.172455220222473,0.62066
normal,2.172455220222473,0.64772
normal,2.172455220222473,0.67228
normal,2.172455220222473,0.6943
normal,2.172455220222473,0.71798
normal,2.172455220222473,0.73626
normal,2.172455220222473,0.756
normal,2.172455220222473,0.7784
normal,2.172455220222473,0.79532
normal,2.172455220222473,0.81804
normal,2.172455220222473,0.83564
normal,2.172455220222473,0.85584
normal,2.172455220222473,0.87284
normal,2.172455220222473,0.89048
normal,2.172455220222473,0.90434
normal,2.172455220222473,0.91664
normal,2.172455220222473,0.9282
normal,2.172455220222473,0.93436
normal,2.172455220222473,0.94348
normal,2.172455220222473,0.94816
normal,2.172455220222473,0.95366
normal,2.172455220222473,0.9586
normal,2.172455220222473,0.95958
normal,2.172455220222473,0.96954
normal,2.172455220222473,0.96958
normal,2.172455220222473,0.97124
normal,2.172455220222473,0.96938
normal,2.172455220222473,0.97466
normal,2.172455220222473,0.97502
normal,2.172455220222473,0.97604
normal,2.172455220222473,0.97462
normal,2.172455220222473,0.97712
normal,2.172455220222473,0.97578
normal,2.172455220222473,0.97802
normal,1.7893262350559234,0.19454
normal,1.7893262350559234,0.36006
normal,1.7893262350559234,0.45342
normal,1.7893262350559234,0.511
normal,1.7893262350559234,0.55426
normal,1.7893262350559234,0.58702
normal,1.7893262350559234,0.62066
normal,1.7893262350559234,0.64772
normal,1.7893262350559234,0.67228
normal,1.7893262350559234,0.6943
normal,1.7893262350559234,0.71798
normal,1.7893262350559234,0.73626
normal,1.7893262350559234,0.756
normal,1.7893262350559234,0.7784
normal,1.7893262350559234,0.79532
normal,1.7893262350559234,0.81804
normal,1.7893262350559234,0.83564
normal,1.7893262350559234,0.85584
normal,1.7893262350559234,0.87284
normal,1.7893262350559234,0.89048
normal,1.7893262350559234,0.90434
normal,1.7893262350559234,0.91664
normal,1.7893262350559234,0.9282
normal,1.7893262350559234,0.93436
normal,1.7893262350559234,0.94348
normal,1.7893262350559234,0.94816
normal,1.7893262350559234,0.95366
normal,1.7893262350559234,0.9586
normal,1.7893262350559234,0.95958
normal,1.7893262350559234,0.96954
normal,1.7893262350559234,0.96958
normal,1.7893262350559234,0.97124
normal,1.7893262350559234,0.96938
normal,1.7893262350559234,0.97466
normal,1.7893262350559234,0.97502
normal,1.7893262350559234,0.97604
normal,1.7893262350559234,0.97462
normal,1.7893262350559234,0.97712
normal,1.7893262350559234,0.97578
normal,1.7893262350559234,0.97802
normal,1.527177683353424,0.19454
normal,1.527177683353424,0.36006
normal,1.527177683353424,0.45342
normal,1.527177683353424,0.511
normal,1.527177683353424,0.55426
normal,1.527177683353424,0.58702
normal,1.527177683353424,0.62066
normal,1.527177683353424,0.64772
normal,1.527177683353424,0.67228
normal,1.527177683353424,0.6943
normal,1.527177683353424,0.71798
normal,1.527177683353424,0.73626
normal,1.527177683353424,0.756
normal,1.527177683353424,0.7784
normal,1.527177683353424,0.79532
normal,1.527177683353424,0.81804
normal,1.527177683353424,0.83564
normal,1.527177683353424,0.85584
normal,1.527177683353424,0.87284
normal,1.527177683353424,0.89048
normal,1.527177683353424,0.90434
normal,1.527177683353424,0.91664
normal,1.527177683353424,0.9282
normal,1.527177683353424,0.93436
normal,1.527177683353424,0.94348
normal,1.527177683353424,0.94816
normal,1.527177683353424,0.95366
normal,1.527177683353424,0.9586
normal,1.527177683353424,0.95958
normal,1.527177683353424,0.96954
normal,1.527177683353424,0.96958
normal,1.527177683353424,0.97124
normal,1.527177683353424,0.96938
normal,1.527177683353424,0.97466
normal,1.527177683353424,0.97502
normal,1.527177683353424,0.97604
normal,1.527177683353424,0.97462
normal,1.527177683353424,0.97712
normal,1.527177683353424,0.97578
normal,1.527177683353424,0.97802
normal,1.3674402945041657,0.19454
normal,1.3674402945041657,0.36006
normal,1.3674402945041657,0.45342
normal,1.3674402945041657,0.511
normal,1.3674402945041657,0.55426
normal,1.3674402945041657,0.58702
normal,1.3674402945041657,0.62066
normal,1.3674402945041657,0.64772
normal,1.3674402945041657,0.67228
normal,1.3674402945041657,0.6943
normal,1.3674402945041657,0.71798
normal,1.3674402945041657,0.73626
normal,1.3674402945041657,0.756
normal,1.3674402945041657,0.7784
normal,1.3674402945041657,0.79532
normal,1.3674402945041657,0.81804
normal,1.3674402945041657,0.83564
normal,1.3674402945041657,0.85584
normal,1.3674402945041657,0.87284
normal,1.3674402945041657,0.89048
normal,1.3674402945041657,0.90434
normal,1.3674402945041657,0.91664
