Type,Train Losses,Train Accuracies
normal,2.122780661344528,0.20834
normal,2.122780661344528,0.31652
normal,2.122780661344528,0.38218
normal,2.122780661344528,0.42894
normal,2.122780661344528,0.45952
normal,2.122780661344528,0.48344
normal,2.122780661344528,0.50114
normal,2.122780661344528,0.5189
normal,2.122780661344528,0.53356
normal,2.122780661344528,0.54822
normal,2.122780661344528,0.5586
normal,2.122780661344528,0.56998
normal,2.122780661344528,0.58146
normal,2.122780661344528,0.59216
normal,2.122780661344528,0.60086
normal,2.122780661344528,0.61034
normal,2.122780661344528,0.6187
normal,2.122780661344528,0.62892
normal,2.122780661344528,0.63598
normal,2.122780661344528,0.64422
normal,2.122780661344528,0.65242
normal,2.122780661344528,0.66174
normal,2.122780661344528,0.6716
normal,2.122780661344528,0.67812
normal,2.122780661344528,0.68428
normal,2.122780661344528,0.69568
normal,2.122780661344528,0.69962
normal,2.122780661344528,0.70898
normal,2.122780661344528,0.71308
normal,2.122780661344528,0.72108
normal,2.122780661344528,0.72804
normal,2.122780661344528,0.73506
normal,2.122780661344528,0.74114
normal,2.122780661344528,0.74702
normal,2.122780661344528,0.75406
normal,2.122780661344528,0.76134
normal,2.122780661344528,0.76704
normal,2.122780661344528,0.77112
normal,2.122780661344528,0.7793
normal,2.122780661344528,0.78518
normal,1.8886952459812165,0.20834
normal,1.8886952459812165,0.31652
normal,1.8886952459812165,0.38218
normal,1.8886952459812165,0.42894
normal,1.8886952459812165,0.45952
normal,1.8886952459812165,0.48344
normal,1.8886952459812165,0.50114
normal,1.8886952459812165,0.5189
normal,1.8886952459812165,0.53356
normal,1.8886952459812165,0.54822
normal,1.8886952459812165,0.5586
normal,1.8886952459812165,0.56998
normal,1.8886952459812165,0.58146
normal,1.8886952459812165,0.59216
normal,1.8886952459812165,0.60086
normal,1.8886952459812165,0.61034
normal,1.8886952459812165,0.6187
normal,1.8886952459812165,0.62892
normal,1.8886952459812165,0.63598
normal,1.8886952459812165,0.64422
normal,1.8886952459812165,0.65242
normal,1.8886952459812165,0.66174
normal,1.8886952459812165,0.6716
normal,1.8886952459812165,0.67812
normal,1.8886952459812165,0.68428
normal,1.8886952459812165,0.69568
normal,1.8886952459812165,0.69962
