Type,Train Losses,Test Accuracies
normal,2.1883194377422335,0.18834
normal,2.1883194377422335,0.34922
normal,2.1883194377422335,0.44012
normal,2.1883194377422335,0.49546
normal,2.1883194377422335,0.53954
normal,2.1883194377422335,0.57604
normal,2.1883194377422335,0.60796
normal,2.1883194377422335,0.63888
normal,2.1883194377422335,0.66994
normal,2.1883194377422335,0.69126
normal,2.1883194377422335,0.71454
normal,2.1883194377422335,0.7377
normal,2.1883194377422335,0.75916
normal,2.1883194377422335,0.7828
normal,2.1883194377422335,0.80402
normal,2.1883194377422335,0.82496
normal,2.1883194377422335,0.8471
normal,2.1883194377422335,0.87106
normal,2.1883194377422335,0.8873
normal,2.1883194377422335,0.9084
normal,2.1883194377422335,0.92458
normal,2.1883194377422335,0.94036
normal,2.1883194377422335,0.95506
normal,2.1883194377422335,0.9633
normal,2.1883194377422335,0.97156
normal,2.1883194377422335,0.97564
normal,2.1883194377422335,0.9772
normal,2.1883194377422335,0.97758
normal,2.1883194377422335,0.9879
normal,2.1883194377422335,0.99478
normal,2.1883194377422335,0.6622
normal,1.8151785140037537,0.18834
normal,1.8151785140037537,0.34922
normal,1.8151785140037537,0.44012
normal,1.8151785140037537,0.49546
normal,1.8151785140037537,0.53954
normal,1.8151785140037537,0.57604
normal,1.8151785140037537,0.60796
normal,1.8151785140037537,0.63888
normal,1.8151785140037537,0.66994
normal,1.8151785140037537,0.69126
normal,1.8151785140037537,0.71454
normal,1.8151785140037537,0.7377
normal,1.8151785140037537,0.75916
normal,1.8151785140037537,0.7828
normal,1.8151785140037537,0.80402
normal,1.8151785140037537,0.82496
normal,1.8151785140037537,0.8471
normal,1.8151785140037537,0.87106
normal,1.8151785140037537,0.8873
normal,1.8151785140037537,0.9084
normal,1.8151785140037537,0.92458
normal,1.8151785140037537,0.94036
normal,1.8151785140037537,0.95506
normal,1.8151785140037537,0.9633
normal,1.8151785140037537,0.97156
normal,1.8151785140037537,0.97564
normal,1.8151785140037537,0.9772
normal,1.8151785140037537,0.97758
normal,1.8151785140037537,0.9879
normal,1.8151785140037537,0.99478
