Type,Train Losses,Train Accuracies
pgd_eps_0.1,2.3040291905403136,0.10176
pgd_eps_0.1,2.3040291905403136,0.09826
pgd_eps_0.1,2.3039607849121095,0.10176
pgd_eps_0.1,2.3039607849121095,0.09826
pgd_eps_0.2,2.3038751001358033,0.10114
pgd_eps_0.2,2.3038751001358033,0.10082
pgd_eps_0.2,2.3038880157470705,0.10114
pgd_eps_0.2,2.3038880157470705,0.10082
pgd_eps_0.4,2.3038890023231504,0.09944
pgd_eps_0.4,2.3038890023231504,0.10022
pgd_eps_0.4,2.3039339308738707,0.09944
pgd_eps_0.4,2.3039339308738707,0.10022
