Type,Train Losses,Train Accuracies
fgsm_eps_0.02,2.211992471694946,0.16544
fgsm_eps_0.02,2.211992471694946,0.2271
fgsm_eps_0.02,2.211992471694946,0.25804
fgsm_eps_0.02,2.211992471694946,0.27282
fgsm_eps_0.02,2.211992471694946,0.28174
fgsm_eps_0.02,2.211992471694946,0.29134
fgsm_eps_0.02,2.211992471694946,0.29818
fgsm_eps_0.02,2.211992471694946,0.30672
fgsm_eps_0.02,2.211992471694946,0.31468
fgsm_eps_0.02,2.211992471694946,0.31958
fgsm_eps_0.02,2.211992471694946,0.32262
fgsm_eps_0.02,2.211992471694946,0.3267
fgsm_eps_0.02,2.211992471694946,0.33152
fgsm_eps_0.02,2.211992471694946,0.33396
fgsm_eps_0.02,2.211992471694946,0.33816
fgsm_eps_0.02,2.211992471694946,0.34274
fgsm_eps_0.02,2.211992471694946,0.34692
fgsm_eps_0.02,2.211992471694946,0.34778
fgsm_eps_0.02,2.211992471694946,0.35036
fgsm_eps_0.02,2.211992471694946,0.35354
fgsm_eps_0.02,2.211992471694946,0.3567
fgsm_eps_0.02,2.211992471694946,0.35762
fgsm_eps_0.02,2.211992471694946,0.3613
fgsm_eps_0.02,2.211992471694946,0.36286
fgsm_eps_0.02,2.211992471694946,0.36526
fgsm_eps_0.02,2.211992471694946,0.36836
fgsm_eps_0.02,2.211992471694946,0.3687
fgsm_eps_0.02,2.211992471694946,0.37168
fgsm_eps_0.02,2.211992471694946,0.37254
fgsm_eps_0.02,2.211992471694946,0.3752
fgsm_eps_0.02,2.211992471694946,0.37694
fgsm_eps_0.02,2.211992471694946,0.37998
fgsm_eps_0.02,2.211992471694946,0.38302
fgsm_eps_0.02,2.211992471694946,0.38266
fgsm_eps_0.02,2.211992471694946,0.38464
fgsm_eps_0.02,2.211992471694946,0.38762
fgsm_eps_0.02,2.211992471694946,0.39006
fgsm_eps_0.02,2.211992471694946,0.39234
fgsm_eps_0.02,2.211992471694946,0.39322
fgsm_eps_0.02,2.211992471694946,0.39636
fgsm_eps_0.02,2.0958618187904356,0.16544
fgsm_eps_0.02,2.0958618187904356,0.2271
fgsm_eps_0.02,2.0958618187904356,0.25804
fgsm_eps_0.02,2.0958618187904356,0.27282
fgsm_eps_0.02,2.0958618187904356,0.28174
fgsm_eps_0.02,2.0958618187904356,0.29134
fgsm_eps_0.02,2.0958618187904356,0.29818
fgsm_eps_0.02,2.0958618187904356,0.30672
fgsm_eps_0.02,2.0958618187904356,0.31468
fgsm_eps_0.02,2.0958618187904356,0.31958
fgsm_eps_0.02,2.0958618187904356,0.32262
fgsm_eps_0.02,2.0958618187904356,0.3267
fgsm_eps_0.02,2.0958618187904356,0.33152
fgsm_eps_0.02,2.0958618187904356,0.33396
fgsm_eps_0.02,2.0958618187904356,0.33816
fgsm_eps_0.02,2.0958618187904356,0.34274
fgsm_eps_0.02,2.0958618187904356,0.34692
fgsm_eps_0.02,2.0958618187904356,0.34778
fgsm_eps_0.02,2.0958618187904356,0.35036
fgsm_eps_0.02,2.0958618187904356,0.35354
fgsm_eps_0.02,2.0958618187904356,0.3567
