Type,Train Losses,Train Accuracies
normal,2.1569798362255095,0.20582
normal,2.1569798362255095,0.3185
normal,2.1569798362255095,0.38416
normal,2.1569798362255095,0.42982
normal,2.1569798362255095,0.45772
normal,2.1569798362255095,0.4821
normal,2.1569798362255095,0.50182
normal,2.1569798362255095,0.51758
normal,2.1569798362255095,0.53298
normal,2.1569798362255095,0.54788
normal,2.1569798362255095,0.55972
normal,2.1569798362255095,0.57038
normal,2.1569798362255095,0.5814
normal,2.1569798362255095,0.59272
normal,2.1569798362255095,0.60302
normal,2.1569798362255095,0.6144
normal,2.1569798362255095,0.62038
normal,2.1569798362255095,0.63204
normal,2.1569798362255095,0.64238
normal,2.1569798362255095,0.64968
normal,2.1569798362255095,0.6566
normal,2.1569798362255095,0.66334
normal,2.1569798362255095,0.67248
normal,2.1569798362255095,0.67948
normal,2.1569798362255095,0.68538
normal,2.1569798362255095,0.69218
normal,2.1569798362255095,0.7008
normal,2.1569798362255095,0.70674
normal,2.1569798362255095,0.71166
normal,2.1569798362255095,0.71836
normal,2.1569798362255095,0.7276
normal,2.1569798362255095,0.7313
normal,2.1569798362255095,0.74136
normal,2.1569798362255095,0.74558
normal,2.1569798362255095,0.7513
normal,2.1569798362255095,0.75888
normal,2.1569798362255095,0.76434
normal,2.1569798362255095,0.7698
normal,2.1569798362255095,0.77626
normal,2.1569798362255095,0.7831
normal,1.895323567867279,0.20582
normal,1.895323567867279,0.3185
normal,1.895323567867279,0.38416
normal,1.895323567867279,0.42982
normal,1.895323567867279,0.45772
normal,1.895323567867279,0.4821
normal,1.895323567867279,0.50182
normal,1.895323567867279,0.51758
normal,1.895323567867279,0.53298
normal,1.895323567867279,0.54788
normal,1.895323567867279,0.55972
normal,1.895323567867279,0.57038
normal,1.895323567867279,0.5814
normal,1.895323567867279,0.59272
normal,1.895323567867279,0.60302
normal,1.895323567867279,0.6144
normal,1.895323567867279,0.62038
normal,1.895323567867279,0.63204
normal,1.895323567867279,0.64238
normal,1.895323567867279,0.64968
normal,1.895323567867279,0.6566
normal,1.895323567867279,0.66334
normal,1.895323567867279,0.67248
normal,1.895323567867279,0.67948
normal,1.895323567867279,0.68538
normal,1.895323567867279,0.69218
normal,1.895323567867279,0.7008
normal,1.895323567867279,0.70674
normal,1.895323567867279,0.71166
normal,1.895323567867279,0.71836
normal,1.895323567867279,0.7276
normal,1.895323567867279,0.7313
normal,1.895323567867279,0.74136
normal,1.895323567867279,0.74558
normal,1.895323567867279,0.7513
normal,1.895323567867279,0.75888
normal,1.895323567867279,0.76434
normal,1.895323567867279,0.7698
normal,1.895323567867279,0.77626
normal,1.895323567867279,0.7831
normal,1.7201335780620575,0.20582
normal,1.7201335780620575,0.3185
normal,1.7201335780620575,0.38416
normal,1.7201335780620575,0.42982
normal,1.7201335780620575,0.45772
normal,1.7201335780620575,0.4821
normal,1.7201335780620575,0.50182
normal,1.7201335780620575,0.51758
normal,1.7201335780620575,0.53298
normal,1.7201335780620575,0.54788
normal,1.7201335780620575,0.55972
normal,1.7201335780620575,0.57038
normal,1.7201335780620575,0.5814
normal,1.7201335780620575,0.59272
normal,1.7201335780620575,0.60302
normal,1.7201335780620575,0.6144
normal,1.7201335780620575,0.62038
normal,1.7201335780620575,0.63204
normal,1.7201335780620575,0.64238
normal,1.7201335780620575,0.64968
normal,1.7201335780620575,0.6566
normal,1.7201335780620575,0.66334
normal,1.7201335780620575,0.67248
normal,1.7201335780620575,0.67948
normal,1.7201335780620575,0.68538
normal,1.7201335780620575,0.69218
normal,1.7201335780620575,0.7008
normal,1.7201335780620575,0.70674
normal,1.7201335780620575,0.71166
normal,1.7201335780620575,0.71836
normal,1.7201335780620575,0.7276
normal,1.7201335780620575,0.7313
normal,1.7201335780620575,0.74136
normal,1.7201335780620575,0.74558
normal,1.7201335780620575,0.7513
normal,1.7201335780620575,0.75888
normal,1.7201335780620575,0.76434
normal,1.7201335780620575,0.7698
normal,1.7201335780620575,0.77626
normal,1.7201335780620575,0.7831
normal,1.583956169605255,0.20582
normal,1.583956169605255,0.3185
normal,1.583956169605255,0.38416
normal,1.583956169605255,0.42982
normal,1.583956169605255,0.45772
normal,1.583956169605255,0.4821
normal,1.583956169605255,0.50182
normal,1.583956169605255,0.51758
normal,1.583956169605255,0.53298
normal,1.583956169605255,0.54788
normal,1.583956169605255,0.55972
normal,1.583956169605255,0.57038
normal,1.583956169605255,0.5814
normal,1.583956169605255,0.59272
normal,1.583956169605255,0.60302
normal,1.583956169605255,0.6144
normal,1.583956169605255,0.62038
normal,1.583956169605255,0.63204
normal,1.583956169605255,0.64238
normal,1.583956169605255,0.64968
normal,1.583956169605255,0.6566
normal,1.583956169605255,0.66334
normal,1.583956169605255,0.67248
normal,1.583956169605255,0.67948
normal,1.583956169605255,0.68538
normal,1.583956169605255,0.69218
normal,1.583956169605255,0.7008
normal,1.583956169605255,0.70674
normal,1.583956169605255,0.71166
normal,1.583956169605255,0.71836
normal,1.583956169605255,0.7276
normal,1.583956169605255,0.7313
normal,1.583956169605255,0.74136
normal,1.583956169605255,0.74558
normal,1.583956169605255,0.7513
normal,1.583956169605255,0.75888
normal,1.583956169605255,0.76434
normal,1.583956169605255,0.7698
normal,1.583956169605255,0.77626
normal,1.583956169605255,0.7831
normal,1.496589453458786,0.20582
normal,1.496589453458786,0.3185
normal,1.496589453458786,0.38416
normal,1.496589453458786,0.42982
normal,1.496589453458786,0.45772
normal,1.496589453458786,0.4821
normal,1.496589453458786,0.50182
normal,1.496589453458786,0.51758
normal,1.496589453458786,0.53298
normal,1.496589453458786,0.54788
normal,1.496589453458786,0.55972
normal,1.496589453458786,0.57038
normal,1.496589453458786,0.5814
normal,1.496589453458786,0.59272
normal,1.496589453458786,0.60302
normal,1.496589453458786,0.6144
normal,1.496589453458786,0.62038
normal,1.496589453458786,0.63204
normal,1.496589453458786,0.64238
normal,1.496589453458786,0.64968
normal,1.496589453458786,0.6566
normal,1.496589453458786,0.66334
normal,1.496589453458786,0.67248
normal,1.496589453458786,0.67948
normal,1.496589453458786,0.68538
normal,1.496589453458786,0.69218
normal,1.496589453458786,0.7008
normal,1.496589453458786,0.70674
normal,1.496589453458786,0.71166
normal,1.496589453458786,0.71836
normal,1.496589453458786,0.7276
normal,1.496589453458786,0.7313
normal,1.496589453458786,0.74136
normal,1.496589453458786,0.74558
